Standard Number,Standard Name,YEAR,PUBLISHER,Price,Description,Currency,Image_URL,Updated_At,Discount,Visible
DIN EN 13880-5:2024-05,Hot applied joint sealants - Part 5: Test method for the determination of flow resistance,2024-05,DIN,100.93,Joint sealings*Road construction*Testing,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 13880-11:2026-05,Hot applied joint sealants - Part 11: Method for the preparation of asphalt test blocks used in the function test and for the determination of compatibility with asphalt pavements,2026-05,DIN,78.41,Joint sealings*Road construction*Test specimens,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 13892-9:2025-11,Methods of test for screed materials - Part 9: Dimensional stability,2025-11,DIN,111.96,Mortars*Screeds (floors)*Shrinking*Swelling*Testing,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 13938-1:2026-03,Explosives for civil uses - Propellants and rocket propellants - Part 1: Requirements,2026-03,DIN,123.74,Explosives*Propellants*Testing,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 13938-2:2026-03,Explosives for civil uses - Propellants and rocket propellants - Part 2: Verification of the resistance to electrostatic discharge of solid gun propellants,2026-03,DIN,135.23,Ballistics*Explosives*Propellants*Testing,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 13938-3:2026-03,Explosives for civil uses - Propellants and rocket propellants - Part 3: Verification of deflagration to detonation transition of solid gun propellants,2026-03,DIN,100.93,Ballistics*Explosives*Propellants*Testing,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 13938-4:2026-03,Explosives for civil uses - Propellants and rocket propellants - Part 4: Determination of the burning rate of solid gun propellants and black powder,2026-03,DIN,90,Explosives*Propellants*Testing,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 13938-5:2026-03,Explosives for civil uses - Propellants and rocket propellants - Part 5: Verification of safe functioning of solid rocket propellants used in small rocket motors,2026-03,DIN,111.96,Explosives*Non-destructive testing*Propellants,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 13946:2025-11,Water quality - Guidance standard for the routine sampling and preparation of benthic diatoms from rivers and lakes,2025-11,DIN,135.23,Sampling methods*Water quality,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 13979-1:2024-04,Railway applications - Wheelsets and bogies - Monobloc Wheels - Technical approval procedure - Part 1: Forged and rolled wheels,2024-04,DIN,241.21,Bogies*Railway applications*Railway vehicles*Wheels*Wheelsets,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14015:2025-10,"Specification for the design and manufacture of site built, vertical, cylindrical, flat-bottomed, above ground, welded, steel tanks for the storage of liquids at ambient temperature and above; German and English version prEN 14015:2025",2025-10,DIN,625.79,Ambient temperature*Construction*Containers*Definitions*Design*Erection*Flat bottoms*High temperatures*Inspection*Liquid bearings*Materials*Mathematical calculations*Metal container*Overhead*Pressure vessels*Production*Specification (approval)*Stability*Stationary*Steel drums*Steel tanks*Steels*Storage*Storage tank*Storages*Tank installations*Tanks (containers)*Testing*Water-polluting substances*Welded,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14024:2024-03,"Metal profiles with thermal barrier - Mechanical performance - Requirements, proof and tests for assessment",2024-03,DIN,251.21,Metal sections*Specification (approval)*Testing*Thermal cutting,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14025:2025-08,Tanks for the transport of dangerous goods - Metallic pressure tanks - Design and construction (includes Corrigendum :2024),2025-08,DIN,232.34,Design*Metallic materials*Tanks (containers)*Transport of dangerous goods,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14056-1:2026-02,Laboratory furniture - Recommendations for design and installation - Part 1: General,2026-02,DIN,187.01,Laboratory furniture*Specification (approval),,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14067-4:2025-07,Railway applications - Aerodynamics - Part 4: Requirements and assessment procedures for aerodynamics on open track (includes Amendment A1:2025),2025-07,DIN,241.21,Aerodynamics*Railway applications*Railways*Testing,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14069:2025-11,"Liming materials - Denominations, specifications and labelling",2025-11,DIN,145.79,Calcium*Determination*Magnesium*Soil improving materials,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14071:2025-02,LPG equipment and accessories - Pressure relief valves for LPG pressure vessels - Ancillary equipment,2025-02,DIN,157.29,Liquefied petroleum gas*Pressure regulators*Pressure vessels*Safety valves,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14078:2026-02,Liquid petroleum products - Determination of fatty acid methyl ester (FAME) content in middle distillates - Infrared spectrometry method,2026-02,DIN,135.23,Determination of content*Infrared radiation*Methyl esters*Petroleum products,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14105:2024-12,"Fat and oil derivatives - Fatty Acid Methyl Esters (FAME) - Determination of free and total glycerol and mono-, di-, triglyceride contents",2024-12,DIN,157.29,Determination of content*Fats*Food products*Methyl esters,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14125:2025-05,Thermoplastic and flexible metal pipework for underground installation at petrol filling stations,2025-05,DIN,178.32,Garages (commercial)*Pipelines*Underground,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14129:2025-02,LPG Equipment and accessories - Pressure relief valves for LPG pressure vessels,2025-02,DIN,178.32,Liquefied petroleum gas*Safety valves*Tanks (containers),,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14135:2026-01,Covering - Determination of fire protection ability,2026-01,DIN,169.07,Construction materials*Coverings*Fire safety,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14144:2025-12,"Lifebuoys - Requirements, tests",2025-12,DIN,100.93,Lifebelts*Specification (approval)*Testing,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14180:2025-08,Sterilizers for medical purposes - Low temperature steam and formaldehyde sterilizers - Requirements and testing,2025-08,DIN,367.48,Steam sterilizers*Sterilization (hygiene),,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14198:2026-05,Railway applications - Braking - Requirements for the brake system of trains hauled by locomotives,2026-05,DIN,304.95,Brakes*Braking equipment*Braking systems*Railway applications*Railways,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14204:2025-12,"Chemical disinfectants and antiseptics - Quantitative suspension test for the evaluation of mycobactericidal activity of chemical disinfectants and antiseptics used in the veterinary area - (phase 2, step 1)",2025-12,DIN,178.32,Antiseptics*Disinfectants*Testing,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14206:2025-11,"Inland navigation vessels - Gangways for passenger vessels - Requirements, tests",2025-11,DIN,78.41,Gangways*Inland waterway transport*Passenger ships,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14211:2025-12,Ambient air - Standard method for the measurement of the concentration of nitrogen dioxide and nitrogen monoxide by chemiluminescence,2025-12,DIN,343.18,Air pollution measurement*Air quality*Measuring techniques*Nitrogen oxides,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14212:2025-12,Ambient air - Standard method for the measurement of the concentration of sulphur dioxide by ultraviolet fluorescence,2025-12,DIN,343.18,Air pollution measurement*Air quality*Measuring techniques*Sulphur dioxide,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14215:2026-02,Textile floor coverings - Classification of rugs and runners,2026-02,DIN,123.74,Classification systems*Pile carpets*Textile floor coverings,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14222:2025-12,Stainless steel steam boilers (includes Amendment :2025),2025-12,DIN,145.79,Fine steels*Large waterspace boiler*Specification (approval),,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14325:2024-08,"Protective clothing against chemicals - Test methods and performance classification of chemical protective clothing materials, seams, joins and assemblages (includes Amendment :2024)",2024-08,DIN,178.32,Chemical resistance*Protective clothing*Testing,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14331:2025-10,Liquid petroleum products - Separation and characterisation of fatty acid methyl esters (FAME) from middle distillate fuels - Liquid chromatography (LC)/gas chromatography (GC) method,2025-10,DIN,90,Fatty acids*Mineral oils*Testing,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14336:2024-04,Heating and cooling systems in buildings - Installation and commissioning of water based heating and cooling systems; German and English version prEN 14336:2024,2024-04,DIN,200.93,Acceptance (approval)*Acceptance inspection*Adjustments*Aeration*Buildings*Commissioning*Definitions*Delivery*Examination (quality assurance)*Filling*Final acceptance*Heat generation*Heat supply*Heat transfer*Heating equipment*Heating installations*Hot water heating systems*Hot-water central heating*Hydraulic tests*Installations*Leak tests*Operating temperatures*Performance tests*Pressure tests*Process charts*Quality assurance*Solar energy*Specification (approval)*Testing*Watertightness tests*Working pressures*Working procedures,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14349:2025-07,"Chemical disinfectants and antiseptics - Quantitative surface test for the evaluation of bactericidal activity of chemical disinfectants and antiseptics used in the veterinary area on non-porous surfaces without mechanical action - Test method and requirements (phase 2, step 2)",2025-07,DIN,195.89,Antiseptics*Disinfectants*Testing,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14361:2025-05,Aluminium and aluminium alloys - Chemical analysis - Sampling from metal melts,2025-05,DIN,111.96,Aluminium*Aluminium alloys*Sampling methods,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14372:2025-08,"Child care articles - Cutlery, feeding utensils and food feeders - Safety requirements and tests; German and English version prEN 14372:2025",2025-08,DIN,179.16,Accident prevention*Aids*Babies*Baby garments*Children*Cutlery*Definitions*Design*Dishes*Feeding*Forks (cutlery)*Hollow-ware*Infants*Instructions for use*Knives*Marking*Materials*Materials specification*Mechanical properties*Nutrition*Plates (tableware)*Properties*Safety*Safety engineering*Safety requirements*Specification (approval)*Spoons*Tableware*Testing,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14373:2025-04,Explosion suppression systems (includes Amendment :2025),2025-04,DIN,195.89,Efficiency*Explosion protection*Systems*Testing,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14382:2024-12,Gas safety shut-off devices for inlet pressure up to 10 MPa (100 bar); German and English version EN 14382:2019+A1:2024,2024-12,DIN,243.83,Blow-off devices*CE marking*Connection lines*Control systems*Controllers*Definitions*Documentation*Flow rates*Gas circuits*Gas distribution*Gas pressure governors*Gas supply*Gas supply system*Gas technology*Gases*High-pressure tests*House installations*Inlet pressure*Mains pipe connections*Maintenance*Marking*Materials*Operation*Planning*Plant*Pressure control*Pressure regulation installations*Pressure regulators*Quality assurance*Quality requirements*Relief valves*Safety devices*Safety engineering*Safety requirements*Safety shut-off devices*Safety shut-off valves*Safety valves*Shut-off devices*Specification (approval)*Stop valves*Testing*Valve seats,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14383-1:2025-11,"Crime prevention through building design, urban planning and city maintenance - Part 1: Vocabulary; Trilingual version EN 14383-1:2025",2025-11,DIN,185.98,Analysis*Anti-burglar measures*Assessment*Buildings*Checks*Condition tests*Construction*Crime*Crime prevention devices*Danger*Definitions*Design*Environment*Hazards*Hold-ups*Planning*Prevention of crime*Preventions*Protective measures*Risk*Safeguarding*Safety*Safety engineering*Security systems in buildings*Status*Terminology*Terminology standard*Town planning*Vandalism*Vocabulary,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14385:2025-03,"Stationary source emissions - Determination of the total emission of As, Cd, Cr, Co, Cu, Mn, Ni, Pb, Sb, Tl and V",2025-03,DIN,278.13,Air quality*Emission*Emission measurement*Exhaust gases,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14404-1:2024-10,Personal protective equipment - Knee protectors for work in the kneeling position - Part 1: Test methods,2024-10,DIN,145.79,Knee pads*Protective clothing*Protective equipment,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14404-2:2024-10,Personal protective equipment - Knee protectors for work in the kneeling position - Part 2: Requirements for wearable knee protectors (type 1),2024-10,DIN,145.79,Knee pads*Protective clothing*Protective equipment,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14404-3:2024-10,Personal protective equipment - Knee protectors for work in the kneeling position - Part 3: Requirements for the individual combination of knee pads and garments (type 2),2024-10,DIN,157.29,Knee pads*Protective clothing*Protective equipment,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14404-4:2024-10,Personal protective equipment - Knee protectors for work in the kneeling position - Part 4: Requirements for the combination of interoperable knee pads and garments (type 2),2024-10,DIN,169.07,Knee pads*Protective clothing*Protective equipment,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14404-5:2024-10,Personal protective equipment - Knee protectors for work in the kneeling position - Part 5: Requirements for knee mats (type 3),2024-10,DIN,135.23,Knee pads*Mats*Protective clothing*Protective equipment,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14404-6:2024-10,Personal protective equipment - Knee protectors for work in the kneeling position - Part 6: Requirements for kneeling systems (type 4),2024-10,DIN,145.79,Knee pads*Protective clothing*Protective equipment,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14420-7:2024-06,Hose fittings with clamp units - Part 7: Cam locking couplings (includes Corrigendum :2023),2024-06,DIN,169.07,Clamp units*Clutches*Hose fittings,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14434:2024-01,"Writing boards for educational institutions - Ergonomic, technical and safety requirements and their test methods",2024-01,DIN,195.89,Schools*Sheet wall coverings*Sheets,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14439:2026-04,Cranes - Tower cranes (includes Corrigendum :2026),2026-04,DIN,343.18,Cranes*Lifting equipment*Tower cranes,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14450:2024-04,"Secure storage units - Requirements, classification and methods of test for resistance to burglary - Secure cabinets (includes Amendment :2023)",2024-04,DIN,123.74,Intrusions*Resistance*Safes*Safety cabinets,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14470-1:2025-11,Fire safety storage cabinets - Part 1: Safety storage cabinets for flammable liquids,2025-11,DIN,157.29,Combustible liquids*Cupboards*Laboratory furniture*Safety*Storage,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14476:2025-11,Chemical disinfectants and antiseptics - Quantitative suspension test for the evaluation of virucidal activity in the medical area - Test method and requirements (Phase 2/Step 1),2025-11,DIN,214.49,Antiseptics*Disinfectants*Testing,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14488-3:2024-01,"Testing sprayed concrete - Part 3: Flexural strengths (first peak, ultimate and residual) of fibre reinforced beam specimens",2024-01,DIN,145.79,Bending strength*Concretes*Sprayed concrete*Testing,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14499:2025-01,Textile floor coverings - Classification of carpet underlays,2025-01,DIN,100.93,Floor coverings*Specification (approval)*Textile floor coverings,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14501:2025-04,Blinds and shutters - Thermal and visual comfort - Performance characteristics and classification (includes Amendment :2025),2025-04,DIN,214.49,Blinds*Sunshading*Testing*Thermal stress,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14504:2024-12,"Inland navigation vessels - Floating landing stages and floating bridges on inland waters - Requirements, tests",2024-12,DIN,169.07,Bridges*Inland waterway transport*Landing stages,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14526:2026-06,Foodstuffs - Determination of saxitoxin-group toxins in shellfish - HPLC method using pre-column derivatization with peroxide or periodate oxidation,2026-06,DIN,287.29,Chemical analysis and testing*Food products*Mussels*Testing,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14534:2024-03,Postal services - Quality of service - Measurement of the transit time of end-to-end services for bulk mail,2024-03,DIN,367.48,Mail*Quality assurance*Services,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14538:2025-03,"Fat and oil derivatives - Fatty acid methyl ester (FAME) - Determination of Ca, Mg, Na, K and P content by optical emission spectral analysis with inductively coupled plasma (ICP OES)",2025-03,DIN,100.93,Determination*Emission spectral analysis*Fats*Oils*Plasma,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14585:2024-12,Corrugated metal hose assemblies for pressure applications,2024-12,DIN,295.98,Metal hoses*Pressure hose assemblies*Specification (approval),,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14587-2:2024-10,"Railway applications - Infrastructure - Flash butt welding of new rails - Part 2: New R200, R220, R260, R260Mn, R320Cr, R350HT, R350LHT, R370CrHT and R400HT grade rails by mobile welding machines at sites other than a fixed plant",2024-10,DIN,195.89,Infrastructure*Rails*Welding*Welding machines,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14601:2025-01,Railway applications - Straight and angled end cocks for brake pipe and main reservoir pipe,2025-01,DIN,157.29,Brakes*Railway applications*Railway vehicles,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14620-1:2024-09,"Design and manufacture of site built, vertical, cylindrical, flat-bottomed tank systems for the storage of refrigerated, liquefied gases with operating temperatures between 0 �C and -196 �C - Part 1: General",2024-09,DIN,251.21,Design*Production*Tanks*Tanks (containers),,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14620-4:2025-10,"Design and manufacture of site built, vertical, cylindrical, flat-bottomed tank systems for the storage of refrigerated, liquefied gases with operating temperatures between 0 �C and -196 �C - Part 4: Insulation components",2025-10,DIN,187.01,Containers*Design*Insulations*Production*Tanks,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14620-5:2025-12,"Design and manufacture of site built, vertical, cylindrical, flat-bottomed tank systems for the storage of refrigerated, liquefied gases with operating temperatures between 0 �C and -196 �C - Part 5: Testing, drying, purging and cool-down",2025-12,DIN,157.29,Containers*Design*Production*Tanks (containers)*Testing,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14625:2025-12,Ambient air - Standard method for the measurement of the concentration of ozone by ultraviolet photometry,2025-12,DIN,343.18,Air quality*Measuring techniques*Ozone,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14662-1:2024-05,Ambient air quality - Standard method for measurement of benzene concentrations - Part 1: Pumped sampling followed by thermal desorption and gas chromatography,2024-05,DIN,259.16,Air quality*Ambient air*Benzene*Limits (mathematics),,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14683:2025-03,Medical face masks - Requirements and test methods,2025-03,DIN,187.01,Infection*Medical devices*Protective clothing*Specification (approval),,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14717:2024-08,Welding and allied processes - Environmental check list,2024-08,DIN,123.74,Check lists*Pollution control*Welding,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14750:2025-02,"Railway applications - Air conditioning for urban, suburban and regional rolling stock - Comfort parameters and type tests",2025-02,DIN,343.18,Air quality*Passenger transport*Passengers*Railway applications*Railway vehicles,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14752:2025-08,Railway applications - Bodyside entrance systems for rolling stock,2025-08,DIN,313.27,Doors*Passenger transport*Railway vehicles,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14803:2024-12,Waste management - Identification and/or determination of the quantity of waste (includes Amendment :2024),2024-12,DIN,145.79,Identification*Litter bins*Quantitative determination*Specification (approval)*Wastes,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14906:2026-07,Leather - Leather for automotive - Test methods and testing parameters,2026-07,DIN,100.93,Leather*Motor vehicles*Testing,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14908-6:2025-02,"Open Data Communication in Building Automation, Controls and Building Management - Control Network Protocol - Part 6: Application elements; English version EN 14908-6:2022",2025-02,DIN,625.79,Air conditioning*Application-service-elements*Automation*Automation installations in buildings*Building automations*Building management*Building services*Buildings*Circuit networks*Control devices*Control systems*Data bus*Data communication*Data exchange*Data network*Data processing*Data transfer*Definitions*EIBnet*Heating technics*KNXnet*Network interconnection*PROFIBUS*Protocols*Specification (approval)*System engineering*Thermal environment systems*Transmission protocol,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14908-7:2025-02,"Open communication in building automation, controls and building management - Control Network Protocol - Part 7: Communication via internet protocols; English version EN 14908-7:2019",2025-02,DIN,171.31,Air conditioning*Applications*Automation*Automation installations in buildings*Building automations*Building management*Building services*Buildings*Circuit networks*Communication*Control devices*Control systems*Data bus*Data communication*Data exchange*Data network*Data processing*Data transfer*Definitions*EIBnet*Heating technics*Information exchange*Interfaces*Internet*Internet Protocol*IP*KNXnet*Network interconnection*PROFIBUS*Protocols*Specification (approval)*System engineering*Thermal environment systems*Transmission protocol,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14908-8:2025-02,"Open Date Communication in Building Automation, Controls and Building Management - Control Network Protocol - Part 8: Communication using Broadband over Power Line Networks - with internet protocols; English version EN 14908-8:2021",2025-02,DIN,108.32,Automation*Automation installations in buildings*Broadband*Building management*Buildings*Circuit networks*Communication protocol*Control devices*Control equipment*Control systems*Data*Data communication*Data exchange*Data network*Data transfer*Data transmission methods*Definitions*Information exchange*Interfaces*Internet Protocol*IP*IT systems*Mains supply*Online services*Open systems interconnection*OSI*Physical layers*Protocols*Transmission protocol*White layers*Wideband communication,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14908-9:2025-02,"Open Data Communication in Building Automation, Controls and Building Management - Control Network Protocol - Part 9: Wireless Communication in ISM bands; English version EN 14908-9:2021",2025-02,DIN,134.95,Adaptation layers*Automation*Automation installations in buildings*Band of frequencies*Building management*Buildings*Circuit networks*Communication*Control devices*Control equipment*Data*Data communication*Data exchange*Data network*Data transfer*Data transmission methods*Definitions*Information exchange*ISM equipment*Mains supply*Open systems interconnection*OSI*Physical layers*Protocols*Radio communication*Radiotelegraphy*Records*Transmission protocol*Wireless*Wireless communication services,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14932:2025-09,Plastics - Thermoplastic stretch films for wrapping silage bales,2025-09,DIN,187.01,Foil*Packages*Plastics*Testing conditions,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14944-1:2024-02,Influence of cementitious products on water intended for human consumption - Test methods - Part 1: Influence of factory made cementitious products on organoleptic parameters,2024-02,DIN,232.34,Migration*Testing*Water,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14944-3:2024-02,Influence of cementitious products on water intended for human consumption - Test methods - Part 3: Migration of substances from factory-made cementititous products,2024-02,DIN,224.11,Migration*Potable water*Testing*Water,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14972-1:2025-07,"Fixed firefighting systems - Water mist systems - Part 1: Design, installation, inspection and maintenance (includes Amendment A1:2025)",2025-07,DIN,367.48,Extinguishing equipment*Firefighting*Planning,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14983:2024-12,Explosion prevention and protection in underground mines - Equipment and protective systems for firedamp drainage,2024-12,DIN,187.01,Explosion protection*Mining*Protection devices*Underground mining,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14986:2024-10,Design of fans working in potentially explosive atmospheres,2024-10,DIN,241.21,Design*Explosion protection*Flammable atmospheres*Ventilators,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 14988:2024-08,Children's high chairs - Requirements and test methods (includes Amendment :2024),2024-08,DIN,232.34,Children's chairs*Furniture*Safety requirements*Testing,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 15004-1:2025-03,"Fixed firefighting systems - Gas extinguishing systems - Part 1: Design, installation and maintenance (ISO 14520-1:2023, modified)",2025-03,DIN,367.48,Extinguishing agents*Extinguishing equipment*Firefighting*Planning,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 15004-2:2025-11,"Fixed firefighting systems - Gas extinguishing systems - Part 2: Physical properties and system design of gas extinguishing systems for FK-5-1-12 extinguishant (ISO 14520-5:2024, modified)",2025-11,DIN,123.74,Fire extinguishers*Fire safety*Specification (approval),,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 15016-2:2026-02,Railway applications - Technical documents - Part 2: Parts lists (includes Amendment A1:2025),2026-02,DIN,145.79,Engineering drawings*Inventories*Railway applications*Specification (approval),,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 15020:2026-07,"Railway applications - Rescue coupler - Performance requirements, specific interface geometry and test methods (includes Amendment :2026)",2026-07,DIN,135.23,Breakdown couplings*Railway applications*Railway vehicles*Testing,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 15051-1:2026-01,Workplace exposure - Measurement of the dustiness of bulk materials - Part 1: Requirements and choice of test methods,2026-01,DIN,135.23,Bulk materials*Dust*Health hazards*Working places,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 15051-2:2026-02,Workplace exposure - Measurement of the dustiness of bulk materials - Part 2: Rotating drum method,2026-02,DIN,178.32,Bulk materials*Dust*Health hazards*Working places,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 15051-3:2026-01,Workplace exposure - Measurement of the dustiness of bulk materials - Part 3: Continuous drop method,2026-01,DIN,123.74,Bulk materials*Dust*Health hazards*Working places,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 15074:2026-06,Chemicals used for treatment of swimming pool and spas water - Ozone,2026-06,DIN,135.23,Chemicals*Ozone*Swimming pool water*Water treatment,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 15077:2026-06,Chemicals used for treatment of swimming pool and spas water - Sodium hypochlorite,2026-06,DIN,135.23,Chemicals*Swimming pool water*Water treatment,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 15085-2:2025-09,Railway applications - Welding of railway vehicles and components - Part 2: Requirements for welding manufacturer (includes Amendment A2:2025),2025-09,DIN,157.29,Railway applications*Railway vehicles*Welding,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
